id,title,location,skills
1,Early years teacher,Sydney,Pharmaceuticals
2,Counselling psychologist,San Francisco,"Google Ads, SEO, Content Writing"
3,Radio broadcast assistant,New York,"Patient Care, Nursing, Medical Research, Pharmaceuticals"
4,"Designer, exhibition/display",Berlin,Machine Learning
5,"Psychotherapist, dance movement",Sydney,"Nursing, Medical Research, Pharmaceuticals"
6,Early years teacher,Sydney,"Financial Modeling, Risk Analysis"
7,Academic librarian,London,Pharmaceuticals
8,Quantity surveyor,Sydney,"Java, Python"
9,Archaeologist,New York,"Python, SQL, Risk Analysis"
10,Mining engineer,London,Production Planning
11,"Education officer, environmental",Berlin,"Risk Analysis, SQL, Financial Modeling"
12,Brewing technologist,Sydney,"Financial Modeling, SQL, Excel, Python"
13,Newspaper journalist,Berlin,"Social Media, Content Writing, SEO"
14,Chief Technology Officer,San Francisco,"Sales, Merchandising, Customer Service"
15,Accommodation manager,London,"Supply Chain, Quality Control, Production Planning"
16,Management consultant,Bangalore,"Quality Control, Production Planning"
17,Animator,New York,Excel
18,Fitness centre manager,Bangalore,"Java, Python, C++"
19,Games developer,Bangalore,Risk Analysis
20,Race relations officer,Sydney,"SQL, Excel, Python"
21,Armed forces operational officer,Sydney,"Curriculum Design, EdTech, Research"
22,Commissioning editor,Sydney,"Google Ads, Social Media, Content Writing, SEO"
23,Adult guidance worker,Toronto,"Supply Chain, Quality Control"
24,Contractor,Toronto,Merchandising
25,"Radiographer, therapeutic",San Francisco,Machine Learning
26,IT technical support officer,Bangalore,Research
27,Soil scientist,Berlin,"Risk Analysis, SQL"
28,Museum/gallery curator,Toronto,"SEO, Social Media, Market Research"
29,"Programmer, multimedia",San Francisco,"Google Ads, SEO"
30,Futures trader,San Francisco,"Quality Control, Supply Chain"
31,"Designer, furniture",Sydney,"Customer Service, Sales, Merchandising"
32,"Accountant, chartered management",London,"Quality Control, Production Planning, Supply Chain"
33,Site engineer,New York,"Excel, Risk Analysis, Python, Financial Modeling"
34,"Programmer, multimedia",San Francisco,"Customer Service, Merchandising"
35,Orthoptist,Bangalore,"SEO, Google Ads"
36,Museum/gallery curator,London,"Merchandising, Sales, Customer Service"
37,"Therapist, nutritional",San Francisco,EdTech
38,"Therapist, nutritional",London,Machine Learning
