id,Job Title,,skills
1, Digital Media Planner,, Media Planning| Digital Media
2, Online Bidding Executive,, pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology
3, Trainee Research/ Research Executive- Hi- Tech Operations,, Computer science| Fabrication| Quality check| Intellectual property| Electronics| Support services| Research| Management| Human resource management| Research Executive
4, Technical Support,, Technical Support
5, Software Test Engineer -hyderabad,, manual testing| test engineering| test cases| web testing| web technologies
6, Opening For Adobe Analytics Specialist,, adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst
7, Sales- Fresher-for Leading Property Consultant,, channel partners| real estate| negotiation| property| Residential Sales
8, Opportunity For Azure Devops Architect For Hyderabad Location,, TFS| Azure| Git| VSTS| Docker| DynaTrace| Splunk| AWS
9, BDE- PUNE,, Bde
10, Technical Support/ Product Support,, technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process
11, Executive Assistant To Chairman,, secretary| executive assistant| ea
12, SEO Executive,, website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining
13, Workflow Coordinator,, operations| workflow| tat| monitoring| mts| email
14,Oracle IDAM,,Oracle IDAM|OIM|OAM
15, Looking Facebook /social Media Manager For our Digital Marketing Ageny,, digital marketing| seo| social media marketing| content marketing| email marketing| sem| google analytics| campaign management| facebook| media management
16, Wanted Engineering Fresher For MNC Chennai,, instrumentation engineering| electrical engineering| Engineering| fresher| Trainee| immediate| Mechanical Engineering| electronics engineering| undergraduate
17, Tooling &amp; Sampling,, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management
18, Account Manager,, Report Generation| Policies| analytical| procedures| Analysts| Data Entry| analytical skills
19, Magento Developer,, Copyright| Email| jQuery| XML| Javascript| CakePHP| Customer service| Open source| Facebook| CSS3
20, Looking For Trained Freshers in MS Dynamics CRM- Hyderabad,, C#| MS Dynamics CRM| Microsoft Dynamics| ms dynamics
21, Job Openings Kotak Life/ Max Life/ Aditya Birla Health for Sales Mgr,, sales manager| business development manager| relationship manager| brokers| insurance sales| channel sales| direct sale| direct marketing| sales| Marketing Executive| Territory Sales Manager
22, Business Development / Corporate Sales,, lead generation| business development| corporate sales
23, Business Development Manager (BDM),, contract management| closing| it services| relationship building| managed services| selling| market research| business development manager| sales
24, QA Executive,, QA Executive
25, Back End Java Developer - Restful Services/soap,, Java EE| JMS| Core Java| JUnit| Weblogic| HTML| JPA| JSON| SOAP| SQL
26, Product Engineer,, Conceptualization| Architecting| Continuous improvement| SIDE| development| Front end| it
27, Opening For Articulate tool Developer - Articulate / Captivate)chennai,, Articulate Storyline
28, Urgent Hiring for Area Sales Manager,, Area Sales Management| Retail Sales| FMCG| Chocolate| confectionary| ASM| Area Sales Manager| area business manager
29, Software Engineer - C++ Development - Ooad/oops,, C#| Java| OOP| C++| Multithreading| UML| OOAD| OOPS| .Net| debugging
30, Linux Administrator Lead,, qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos
31, Hiring for Tech Pm/scrum Master for Hyderabad Location,, Java| JPA| Hibernate| Project Management| JDBC| Scrum Master| Microservices| Agile| SOAP| Rest
32, Assistant Professor (Grade I)-Theoretical Computer Science,,vide
33, US Based Financial Company Looking For Java API Engineers For HYD,, Java| java api| Banking| j2ee| API| finance| core java| microservices
34, Strong Partner Ecosystem,, GIS| ISO 27001| HR| information system| process| ISO 9001| Information security management| GIS software| Management| Edge
35, Wordpress Web Developer,,vide
36, Senior Executive- Contract Logistics- Bom WP-A,, Administration| Administrative Support| Contract Logistics| Staff Development| Site Management| Quality Improvement| warehousing| Warehouse Operations
37, Accounts Manager,, filing| tds| service industry| pf| esi| returns| coaching| payroll| invoice| tally
38, Technical Sales Executive with fixed pay & lucrative incentives/UK Inb,, Outbound| Antivirus| Technical support| Sales| Spot| Inbound calls| pay| Medical| Comp
39, nutanix sme ,, Troubleshooting| DNS| DHCP| Monitoring| Virtualization| Shell scripting| Python| VMS| Open source| Archiving
40, System Architect - 3g/4g Wireless Network Architecture & Migration,, 4G| 3GPP| 3G| System Architect| LTE| Radio Access Network| PhD| IEEE
41,"Excellent Opportunity For ” Linux Device Driver ” ,for Hyderabad and Ban",,arm processor|c|device drivers|embedded linux|linux kernel|ipc
42, Java Developer,, JMS| Core Java| Sonar| Weblogic| XML| J2Ee| SVN| Spring| Oracle 11G| SQL
43, Regional Representative,, market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction
44, Hiring For Record To Report,, fixed assets| accounts payable| record to report| general accounting| general ledger
45, Product & Regional Sales Manager,, Team management| Regional sales| Management
46, Senior Manager/associate Director - Mandarin,, Commercial Activities| Commercial Sales| Online Sales| Senior Management| Budgeting| Strategy Implementation| Marketing| E - commerce
47, ODI Developer/lead ODI Developer - RACI,, ODI| Matrix
48, UI Developer,, javascript| sql| php| php mysql| css| software development| technical| photoshop| mca| ajax| jquery| application| web| design| mysql| html
49, Assistant Manager ,, Relationship management| Relationship building| Client relationship| Training| Analytical skills| Process mapping| Standard operating procedures| Agile| Management| Visa processing
50, Android Developer,, android| btech| iphone| server| analytical| developing| ios| platforms| objective c| web| xml| design| json| programming| development| c| testing| mobile| xcode| application development| eclipse| application| sdk| applications
51, International BPO / Non Voice Process / Rotational Shift / Ahmedabad,, cca| bpo| csr| international bpo| customer service| outbound process| customer care| tourism| customer support| fresher| voice process| inbound process| cse| bpo fresher| voice support| hotel| travel
52, iOS Developer,, bca| graphics| application development| b tech| core| b sc| application| b e| ios| publishing| animation
53, F&A Black belt - Process Excellence Lead,, Accounting| Continuous Improvement| Process Improvement| Load Balancing| Lean Six Sigma| Black Belt| Training| Green Belt| Process re - engineering| Process Excellence| Business Excellence| OTC
54, IT - Head (preferably from an NGO),, networking| information technology| network administration| technical support| support services| license management| disaster recovery| data security| it training| it software
55, Digital Content Producer For largest Media House,, Automobile| Digital Content| Content Development| Production| Web Content Writing
56, Manager Holidays,, Tourism| target achievement| negotiation skills| revenue management| Tour Packages
57, Backend Developer,, PHP| Networking| Data structures| HTTP| JSON| Software design| Computer science| System design| Backend| Ticketing
58, JUNIOR BIG DATA ANALYST IN,,vide
59, Chief Engineer,, Chief Engineer| Hospitality| HVAC| Maintenance| Water Treatment| Energy Conservation| Capital Expenditure
60,,,Marketing|Executive|Marketing|Marketing|Executive|Direct|Executives|Marketing|Executive|Executive|Executive|Executive|Marketing|Executive|Marketing|Executive|direct|marketing|executive|Marketing|Executive|Marketing|Executive|Executive|Marketing|Executive|direct|Executive|Direct|Marketing|Executive|Executive|Direct|Marketing|Marketing|Executive
61, Oracle DBA Consultant - Data Guard/rac Modules,, WebLogic| configuration| MySQL| installation| Oracle DBA| troubleshooting| Oracle RAC
62, Global HR Operations Analyst,, Service level| Data management| HR Coordinator| Management audit| HR operations| Human resource management
63,,,Manager|Transformation|Manager|Transformation|Manager|Manager|Manager|Manager|Transformation|Manager|Transformation|Manager|Manager|Transformation|Manager|Manager|Transformation|Transformation|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Transformation|Manager|Manager|Manager|Manager|Manager|Manager|Transformation|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Transformation|Manager|Transformation|Manager|Manager|Manager|Transformation|Manager|Transformation|Manager|Manager|Transformation|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Transformation
64, Compiler- Support Engineer,, Graphics| C++| Windows OS| Linux| high performance computing| Test cases| System software| Gaming| FreeBSD
65, Key Accounts Manager,,vide
66, Head Sales- Coworking Company,, Sales| Team Building| Strategic Leadership| Real Estate| Field Sales| Sales Strategy| Enterprise Business| Go - to - market Strategy| Enterprise sales| Sales Executive Activities| Marketing
67," Clubhouse Manager, Facility Manager,",, Facility Management| facility services
68, IP DRG / Surgery / ED / Denials Coders,, sds| radiology| CPT| icd - 10| EM| medical coding| coders| surgery| ed
69, Sales Manager - Education Sales,, Market analysis| Public relations| CV| Relationship building| Market intelligence| Prospecting| Budgeting| Sales process| Branding
70, HR Associate,, ERP| MIS| Succession Planning| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition
71, Manager / Sr Manager - Digital Ad Sales - Ecommerce,, revenue generation| marketing| ad sales| web technologies
72, Architect Junior/ Middle level,, co ordination| team management| drafting| loans| online| coordination| quality
73, php developer,, English| PHP| XML| DOM| SOAP| Com| Web technologies| Written communication| Email| Time
74, Openstack Engineer / Openstack Admin with Ceph Storage,, cloud| puppet| python| git| KVM| linux| jenkins| openstack| ansible
75, Sr. Software Engineer,, National| Branch| Vice President| J2Ee| Software
76, Software Engineering- Mentor,, Mentor| Android| Consulting| Usage| development| software| mobile| it| SIDE| Front end| Web technologies| Coding| web| backend| Open source| programming| Investment
77, Application Tester,, Performance Testing| Software Testing| Manual Testing| Quality Testing
78, Credit Control - Manager / Asst. Manager,, Pivot Table| Credit Analysis| Tally ERP| Accounting| VLOOKUP| Finance| Lookup| Advanced Excel| HLOOKUP| Credit Control
79, Night Shift - Non Voice / Web Chat - BPO,, international bpo| bpo| kpo| web chat| non voice process| e mail| international call center| customer service representative| cse| interpersonal skills| ites| uk shift| customer service| e - commerce| customer care| customer support| bpo fresher
80, Sales Executive,, Innovative| Aggressive
81, Design Engineer Mechanical,, Communication Skills| Detail Engineering| Material Handling| AutoCAD| Detailing| Design Engineering| Microstation| Bid Evaluation
82, Android developer,, design| android| erp| software| mvc| quality
83, Technical Writer,, Technical Writing| Technical Documentation| Articles| Writing Skills| Product Support
84," Pro-Engineer , Matlab ,Ansys",, Ansys| thermal| MATLAB| System design| Recruitment| MCCB| Electricals
